,Coroner area
0,North Northumberland
1,South Northumberland
2,Teesside
3,Hartlepool
4,Gateshead and South Tyneside
5,Newcastle upon Tyne
6,North Tyneside
7,Sunderland
8,Cheshire
9,Cumbria
10,Manchester City
11,Manchester North
12,Manchester South
13,Manchester West
14,Lancashire and Blackburn with Darwen
15,Blackpool and the Fylde
16,"Sefton, Knowsley and St Helens"
17,Liverpool and the Wirral
18,East Riding and Hull
19,North Lincolnshire and Grimsby
20,York City
21,North Yorkshire (Eastern)
22,North Yorkshire (Western)
23,South Yorkshire (Eastern)
24,South Yorkshire (Western)
25,West Yorkshire (Eastern)
26,West Yorkshire (Western)
27,Derby and Derbyshire
28,Leicester City and South Leicestershire
29,Rutland and North Leicestershire
30,Lincolnshire
31,Northamptonshire
32,Nottinghamshire
33,Herefordshire
34,"Shropshire, Telford and Wrekin"
35,Staffordshire South
36,Stoke-on-Trent and North Staffordshire
37,Warwickshire
38,Birmingham and Solihull
39,Black Country
40,Coventry
41,Worcestershire
42,Bedfordshire and Luton
43,Cambridgeshire and Peterborough
44,Essex
45,Hertfordshire
46,Norfolk
47,Suffolk
48,City of London
49,East London
50,Inner North London
51,Inner South London
52,Inner West London
53,North London
54,South London
55,West London
56,Berkshire
57,Brighton and Hove
58,Buckinghamshire
59,East Sussex
60,"Hampshire, Portsmouth and Southampton"
61,Isle of Wight
62,Central and South East Kent
63,Mid Kent and Medway
64,North East Kent
65,North West Kent
66,Milton Keynes
67,Oxfordshire
68,Surrey
69,West Sussex
70,Avon
71,Cornwall and Isles of Scilly
72,Exeter and Greater Devon
73,"Plymouth, Torbay and South Devon"
74,Dorset
75,Gloucestershire
76,Somerset
77,Wiltshire and Swindon
78,South Wales Central
79,Carmarthenshire and Pembrokeshire
80,North Wales (East and Central)
81,Ceredigion
82,Gwent
83,Swansea and Neath Port Talbot
84,North West Wales
85,County Durham and Darlington
