,coroner_name,count
282,Mary Hassell,140
12,Alison Mutch,134
220,John Pollard,90
265,Louise Hunt,60
24,Andrew Harris,58
184,Jacqueline Lake,58
446,Veronica Hamilton-Deeley,57
297,Nadia Persaud,56
453,Zafar Siddique,52
22,Andrew Cox,51
23,Andrew Haigh,50
217,John Gittins,49
30,Andrew Walker,47
269,Lydia Brown,45
261,Lisa Hashmi,42
278,Martin Fleming,42
251,Kevin McLoughlin,40
53,Caroline Beasley-Murray,40
17,Andrew Barkley,38
273,Maria Voisin,38
439,Tom Osborne,37
142,Fiona Wilcox,36
133,Emma Brown,36
208,Joanne Kearsley,36
431,Thoma Osborne,36
16,AnRebello,35
169,Heidi Connor,34
104,David Ridley,33
113,Derek Winter,32
7,Alan Wilson,32
6,Alan Walsh,32
364,Richard Brittain,31
28,Andrew Tweddle,30
402,Sean McGovern,28
271,Margaret Jones,28
155,Graeme Irvine,27
326,Penelope Schofield,27
313,Nicola Mundy,26
314,Nigel Meadows,26
350,Rachael Griffin,26
151,Geraint Williams,26
56,Caroline Saunders,25
93,David Hinchliff,24
243,Karen Henderson,24
173,Ian Arrow,23
249,Katy Skerrett,23
36,Anna Crawford,23
95,David Horsley,23
65,Chri Morris,22
370,Richard Travers,21
318,Patricia Harding,21
177,Ian Pears,21
339,Philip Barlow,20
105,David Roberts,20
418,Sonia Hayes,20
183,Jacqueline Devonish,20
136,Emma Whitting,20
202,Jennifer Leeming,19
305,Nichola Rheinberg,19
88,Darren Salter,19
315,Nigel Parsley,18
403,Selena Lynch,18
57,Caroline Sumeray,17
129,Elizabeth Earland,17
214,John Ellery,17
240,Karen Dilks,17
20,Andrew Bridgman,16
135,Emma Serrano,16
85,Crispin Oliver,16
134,Emma Carlyon,16
332,Peter Harrowing,16
354,Rachel Galloway,16
229,Jonathan Layton,15
327,Peter Bedford,15
413,Simon Nelson,15
400,Sean Cummings,15
390,Sarah Bourke,15
58,Caroline Topping,15
452,Yvonne Blake,14
291,Michael Singleton,14
9,Alexander Forrest,14
398,Sarah-Jane Richards,14
189,James Bennett,14
154,Graeme Hughes,14
70,Christopher Dorries,14
148,Geoffrey Sullivan,14
281,Mary Burke,13
157,Grahame Short,13
128,Elizabeth Didcock,13
209,Joanne Lees,13
84,Crispin Butler,13
420,Stephanie Haskey,13
320,Paul Cooper,12
103,David Reid,12
66,Chris Morris,12
62,Catherine McKenna,12
108,David Urpeth,12
61,Catherine Mason,12
415,Simon Wickens,12
393,Sarah Ormond-Walshe,12
158,Guy Davies,12
371,Robert Chapman,12
47,Brendan Allen,11
434,Timothy Brennand,11
330,Peter Dean,11
179,Ian Smith,11
164,Hassan Shah,11
285,Melanie Williamson,11
199,Jean Harkin,10
123,Edwin Buckett,10
0,Abigail Combes,10
76,Christopher Woolley,10
64,Chinyere Inyama,10
442,Tony Brown,10
72,Christopher Murray,9
358,Rachel Syed,9
127,Elizabeth Carlyon,9
425,Stuart Fisher,9
188,James Adeley,9
357,Rachel Redman,9
171,Henrietta Hill,9
100,David Osborne,9
203,Jeremy Chipperfield,9
247,Kate Thomas,9
80,Clare Bailey,8
373,Robert Hunter,8
374,Robert Simpson,8
153,Gordon Clow,8
223,John Tomalin,8
377,Robin Balmain,8
82,Colin Phillips,8
10,Alison Hewitt,8
325,Paul Smith,8
122,Edward Thomas,8
316,Oliver Longstaff,8
119,Donald Coutts-Wood,8
197,Jason Pegg,8
447,Wendy James,8
406,Shirley Radcliffe,8
410,Simon Fox,8
312,Nicola Jones,8
48,Bridget Dolan,7
37,Anna Loxton,7
383,Roy Palmer,7
429,Terence Moore,7
387,Samantha Marsh,7
309,Nicholas Rheinberg,7
263,Lorna Tagliavini,7
356,Rachel Knight,7
343,Philip Spinney,7
91,David Clark,7
1,Adam Hodson,7
443,Tony Williams,6
428,Terence Carney,6
427,Tanyka Rawden,6
212,John Broadbridge,6
178,Ian Singleton,6
411,Simon Jones,6
8,Aled Gruffydd,6
4,Alan Craze,6
194,Jane Gillespie,6
238,Julie Robertson,6
228,Jonathan Landau,6
242,Karen Harrold,6
102,David Regan,6
290,Michael Rose,6
117,Dianne Hocking,6
275,Mark Beresford,6
71,Christopher Morris,6
368,Richard Middleton,6
322,Paul Marks,6
380,Roger Hatch,6
394,Sarah Slater,6
401,Sean Horstead,6
384,Russell Caller,6
218,John Hobson,5
310,Nicholas Shaw,5
236,Julian Morris,5
337,Peter Nieto,5
206,Joanne Andrews,5
284,Matthew Cox,5
198,Jason Wells,5
231,Jonathan Stevens,5
204,Jessica Russell-Mitra,5
433,Tim Holloway,5
293,Michelle Brown,5
192,James Thompson,5
257,Laurinda Bower,5
454,Zak Golombeck,5
125,Eleanor McGann,5
39,Anne Pember,5
26,Andrew McNamara,5
46,Bina Patel,5
97,David Lewis,5
45,Belinda Cheney,5
5,Alan Moore,5
38,Anna Morris,5
185,Jame Healy-Pratt,5
75,Christopher Williams,5
2,Adrian Farrow,5
264,Lorraine Harris,4
138,Fiona Borrill,4
126,Elisabeth Bussey-Jones,4
230,Jonathan Leach,4
165,Heath Westerman,4
366,Richard Hulett,4
392,Sarah Murphy,4
338,Peter Sigee,4
331,Peter Dorries,4
258,Laurinder Bower,4
424,Stephen Nicholls,4
286,Michael Burgess,4
376,Robert Turnbull,4
114,Derek Winter DL,4
375,Robert Sowersby,4
180,Ian Wade,4
11,Alison McCormick,4
237,Julie Goulding,4
321,Paul Kelly,4
49,Briony Ballard,4
63,Catherine Wood,3
362,Rebecca Cobb,3
67,Christina Swann,3
248,Katie Sutherland,3
144,Gail Elliman,3
250,Kevin McLoughin,3
146,Gemma Brannigan,3
78,Claire Hammond,3
74,Christopher Wilkinson,3
137,Eric Armstrong,3
77,Claire Balysz,3
55,Caroline Sarah Sumeray,3
347,Professor Fiona Wilcox,3
342,Philip Shar,3
340,Philip Holden,3
92,David Heming,3
319,Paul Bennett,3
101,David Pojur,3
308,Nicholas Moss,3
111,Deborah Archer,3
303,Nichola Graham,3
299,Neil Cameron,3
244,Karin Welsh,3
298,Nadia Persuad,3
112,Delroy Henry,3
448,William Armstrong,3
422,Stephen Eccleston,3
419,Sophie Cartwright,3
27,Andrew Thompson,3
241,Karen Harold,3
25,Andrew Hetherington,3
163,HHJ Mark Lucraft,3
175,Ian Brownhill,3
222,John Taylor,3
438,Tom Leeper,3
43,Anthony Howard,3
399,Scott Matthewson,3
14,Allison Summers,3
210,Johanna Thompson,3
186,Jame Newman,3
239,Kally Cheema,3
52,Carly Henley,3
396,Sarah Whitby,3
156,Graham Danbury,3
152,Gilva Tisshaw,3
324,Paul O’Donnell,2
29,Andrew Tweedle,2
3,Alan Blunsdon,2
306,Nichola Shaw,2
450,William Morris,2
110,Debbie Rookes,2
304,Nichola Moss,2
106,David Ski,2
449,William Coverdale,2
89,Darren Stewart,2
435,Timothy Brennard,2
345,Pritchard Jones,2
329,Peter Clark,2
359,Rashid Sohail,2
382,Rosemary Baxter,2
59,Catharine Palmer,2
389,Sara Lewis,2
365,Richard Furniss,2
44,Anthony Mazzag,2
361,Raymond Curtis,2
360,Ravi Sidhu,2
73,Christopher Sutton-Mattocks,2
421,Stephen Covell,2
40,Anthony Curzon,2
404,Sheriff Payne,2
35,Anita Bhardwaj,2
412,Simon Milburn,2
34,Angharad Davies,2
346,Professor Catherine Mason,2
33,Angela Hodes,2
187,Jame Thompson,2
94,David Hincliff,2
245,Karon Monaghan,2
253,Kirsty Gomersal,2
131,Elizabeth Gray,2
166,Heather William,2
272,Maria Mulrennan,2
262,Lorna Skinner,2
170,Helen Redman,2
276,Mark Layton,2
277,Martin Flemimg,2
260,Lincoln Brookes,2
172,Hugh Bricknell,2
259,Leslie Hamilton,2
140,Fiona King,2
256,Lauren Costello,2
226,Jon Heath,2
174,Ian Boyes,2
225,John Woolley,2
145,Gareth Lewis,2
191,James Healy-Pratt,2
295,Murray Spittal,2
289,Michael Oakley,2
195,Janet Napier,2
235,Julian Fox,2
221,John Sleightholme,1
224,John Tomlin,1
161,HHJ Keith Cutler CBE,1
405,Sheriff Stanhope Payne,1
407,Sian Jones,1
408,Simon Allen,1
409,Simon Burge,1
386,Sam Faulks,1
385,Sabyta Kaushal,1
162,HHJ Loraine-Smith,1
41,Anthony Eastwood,1
395,Sarah Watson,1
50,C W M Donnelly,1
159,HH Munro,1
42,Anthony Eastwoods,1
388,Samuel Bass,1
150,Georgina Gibbs,1
391,Sarah Jane-Richards,1
216,John Gittens,1
234,Julia Robertson,1
160,HH Peter Rock,1
233,Joseph Turner,1
397,Sarah-Jane Richard,1
232,Joseph Hart,1
219,John Matthews,1
416,Siobhan Kelly,1
215,John Gitins,1
414,Simon Ward,1
437,Timothy Ratcliffe,1
176,Ian Goldu,1
15,Amy Street,1
440,Tom Stoate,1
441,Tony Badenoch,1
201,Jennifer Leaming,1
13,Alison Owen,1
444,Trevor Kirkland,1
445,Vanessa McKinlay,1
200,Jennier Leeming,1
181,J Hamilton,1
182,J Robinson,1
196,Janine Wolstenholme,1
451,Xavier Mooyaart,1
193,Jan Alam,1
436,Timothy Harvey Ratcliffe,1
18,Andrew Bradley,1
19,Andrew Bridgeman,1
211,John Adrian Gittins,1
149,Geoffrey Tomalin,1
417,Sir Peter Thornton,1
32,Angela Brocklehurst,1
213,John Buckley,1
31,Andrew Wallker,1
167,Heather Williams,1
423,Stephen Hugh Glossop Covell,1
432,Tim Deeming,1
168,Heida Connor,1
426,Séan Cummings,1
207,Joanne Kearlsey,1
205,Joanna Lees,1
430,Terrence Carney,1
21,Andrew Cousins,1
51,Carly Elizabeth Henley,1
296,Myfanwy Buckeridge,1
147,Geoffrey Saul,1
381,Rosamund Rhodes-Kem,1
283,Mary Teresa Burke,1
121,Edward Solomons,1
96,David James,1
124,Elaine Moloney,1
190,James Hargan,1
323,Paul Matthews,1
280,Martin Oldham,1
279,Martin Gotheridge,1
90,David Bowen,1
328,Peter Brunton,1
87,Daniel Sharpstone,1
274,Maria Voison,1
86,Dame Linda Dobbs,1
333,Peter Hatvany,1
334,Peter Horrowing,1
317,Pail O’Donnell,1
98,David Llewelyn,1
99,David Morris,1
116,Dewi Pritchard-Jones,1
294,Mr Cheney,1
300,Neil Cronin,1
301,Nichola Flanagan,1
302,Nichola Gardiner,1
292,Michael Snell,1
115,Dewi Pritchard,1
307,Nicholas Lane,1
120,Edward Morgan,1
288,Michael Mellun,1
287,Michael Kendall,1
109,David W G Ridley,1
311,Nick Stanage,1
107,David Urpeath,1
118,Dianne Hockling,1
335,Peter Jame Bedford,1
336,Peter Nielo,1
83,Craig Smith,1
141,Fiona Malek,1
69,Christopher Dorrie OBE,1
254,Laura Johnson,1
367,Richard Marshall,1
68,Christopher Briggs,1
369,Richard Taylor,1
252,Kevin Paul Sutton,1
372,Robert Cohen,1
255,Laura Nash,1
60,Catherine Cundy,1
143,Fiona Willcox,1
246,Kate Sutherland,1
378,Robin John Balmain,1
379,Roger Barkley,1
54,Caroline Jones,1
363,Rebecca Ollivere,1
139,Fiona Butler,1
130,Elizabeth Emma Carlyon,1
268,Lousie Hunt,1
81,Clare Doherty,1
341,Philip Rogers,1
79,Claire Welch,1
344,Phillip Barlow,1
270,Lydia Browne,1
132,Elizabeth Pygott,1
348,Professor Paul Marks,1
355,Rachel Griffin,1
349,RN Palmer,1
267,Louise Slater,1
351,Rachael Griffith,1
352,Rachael Knight,1
353,Rachael Redman,1
266,Louise Rae,1
227,Jonathan Heath,1
