,area,number of reports,number of authors,no response,partial response,expected number of responses received,no response: proportion,partial response: proportion,expected number of responses received: proportion
0,County Durham and Darlington,61,8,42.0,16.0,3.0,0.26229508196721313,0.04918032786885246,0.6885245901639344
1,North Northumberland,11,2,6.0,3.0,2.0,0.2727272727272727,0.18181818181818182,0.5454545454545454
2,South Northumberland,3,1,0.0,3.0,0.0,1.0,0.0,0.0
3,Teesside and Hartlepool,12,6,9.0,2.0,1.0,0.16666666666666666,0.08333333333333333,0.75
4,Gateshead and South Tyneside,7,2,0.0,7.0,0.0,1.0,0.0,0.0
5,Newcastle upon Tyne,15,1,8.0,6.0,1.0,0.4,0.06666666666666667,0.5333333333333333
6,North Tyneside,3,3,2.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666
7,Sunderland,35,6,22.0,13.0,0.0,0.37142857142857144,0.0,0.6285714285714286
8,Cheshire,24,9,10.0,10.0,4.0,0.4166666666666667,0.16666666666666666,0.4166666666666667
9,Cumbria,47,15,35.0,12.0,0.0,0.2553191489361702,0.0,0.7446808510638298
10,Manchester City,49,16,19.0,23.0,7.0,0.46938775510204084,0.14285714285714285,0.3877551020408163
11,Manchester North,92,14,50.0,30.0,12.0,0.32608695652173914,0.13043478260869565,0.5434782608695652
12,Manchester South,305,17,174.0,111.0,20.0,0.3639344262295082,0.06557377049180328,0.5704918032786885
13,Manchester West,102,18,60.0,36.0,6.0,0.35294117647058826,0.058823529411764705,0.5882352941176471
14,Lancashire and Blackburn with Darwen,40,12,12.0,27.0,1.0,0.675,0.025,0.3
15,Blackpool and the Fylde,32,4,20.0,12.0,0.0,0.375,0.0,0.625
16,"Sefton, Knowsley and St Helens",1,1,1.0,0.0,0.0,0.0,0.0,1.0
17,Liverpool and the Wirral,43,7,23.0,15.0,5.0,0.3488372093023256,0.11627906976744186,0.5348837209302325
18,East Riding and Hull,10,4,2.0,8.0,0.0,0.8,0.0,0.2
19,North Lincolnshire and Grimsby,4,1,2.0,2.0,0.0,0.5,0.0,0.5
20,York City,3,2,2.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666
21,North Yorkshire (Eastern),2,1,0.0,2.0,0.0,1.0,0.0,0.0
22,North Yorkshire (Western),6,4,3.0,2.0,1.0,0.3333333333333333,0.16666666666666666,0.5
23,South Yorkshire (Eastern),43,11,27.0,16.0,0.0,0.37209302325581395,0.0,0.627906976744186
24,South Yorkshire (Western),54,15,34.0,18.0,2.0,0.3333333333333333,0.037037037037037035,0.6296296296296297
25,West Yorkshire (Eastern),76,13,41.0,33.0,2.0,0.4342105263157895,0.02631578947368421,0.5394736842105263
26,West Yorkshire (Western),56,14,17.0,32.0,7.0,0.5714285714285714,0.125,0.30357142857142855
27,Derby and Derbyshire,30,9,10.0,15.0,5.0,0.5,0.16666666666666666,0.3333333333333333
28,Leicester City and South Leicestershire,58,12,40.0,11.0,7.0,0.1896551724137931,0.1206896551724138,0.6896551724137931
29,Rutland and North Leicestershire,7,3,0.0,7.0,0.0,1.0,0.0,0.0
30,Lincolnshire,49,13,18.0,29.0,2.0,0.5918367346938775,0.04081632653061224,0.3673469387755102
31,Northamptonshire,16,5,6.0,7.0,3.0,0.4375,0.1875,0.375
32,Nottinghamshire,71,12,32.0,30.0,9.0,0.4225352112676056,0.1267605633802817,0.4507042253521127
33,Herefordshire,2,2,2.0,0.0,0.0,0.0,0.0,1.0
34,"Shropshire, Telford and Wrekin",21,3,11.0,9.0,1.0,0.42857142857142855,0.047619047619047616,0.5238095238095238
35,Staffordshire South,59,2,37.0,19.0,3.0,0.3220338983050847,0.05084745762711865,0.6271186440677966
36,Stoke-on-Trent and North Staffordshire,37,7,21.0,15.0,1.0,0.40540540540540543,0.02702702702702703,0.5675675675675675
37,Warwickshire,27,7,11.0,14.0,2.0,0.5185185185185185,0.07407407407407407,0.4074074074074074
38,Birmingham and Solihull,118,10,71.0,22.0,25.0,0.1864406779661017,0.211864406779661,0.6016949152542372
39,Black Country,71,9,36.0,25.0,10.0,0.352112676056338,0.14084507042253522,0.5070422535211268
40,Coventry,19,8,7.0,12.0,0.0,0.631578947368421,0.0,0.3684210526315789
41,Worcestershire,35,5,21.0,13.0,1.0,0.37142857142857144,0.02857142857142857,0.6
42,Bedfordshire and Luton,54,8,37.0,14.0,3.0,0.25925925925925924,0.05555555555555555,0.6851851851851852
43,Cambridgeshire and Peterborough,24,13,8.0,13.0,3.0,0.5416666666666666,0.125,0.3333333333333333
44,Essex,49,5,12.0,31.0,6.0,0.6326530612244898,0.12244897959183673,0.24489795918367346
45,Hertfordshire,26,7,21.0,5.0,0.0,0.19230769230769232,0.0,0.8076923076923077
46,Norfolk,80,6,53.0,24.0,3.0,0.3,0.0375,0.6625
47,Suffolk,36,7,14.0,19.0,3.0,0.5277777777777778,0.08333333333333333,0.3888888888888889
48,City of London,7,3,4.0,2.0,1.0,0.2857142857142857,0.14285714285714285,0.5714285714285714
49,East London,81,8,37.0,40.0,4.0,0.49382716049382713,0.04938271604938271,0.4567901234567901
50,Inner North London,195,14,112.0,66.0,17.0,0.3384615384615385,0.08717948717948718,0.5743589743589743
51,Inner South London,106,21,58.0,27.0,21.0,0.25471698113207547,0.19811320754716982,0.5471698113207547
52,Inner West London,56,12,17.0,25.0,14.0,0.44642857142857145,0.25,0.30357142857142855
53,North London,58,9,36.0,21.0,1.0,0.3620689655172414,0.017241379310344827,0.6206896551724138
54,South London,32,9,11.0,18.0,3.0,0.5625,0.09375,0.34375
55,West London,36,15,12.0,22.0,2.0,0.6111111111111112,0.05555555555555555,0.3333333333333333
56,Berkshire,30,5,12.0,13.0,5.0,0.43333333333333335,0.16666666666666666,0.4
57,Brighton and Hove,60,4,32.0,22.0,6.0,0.36666666666666664,0.1,0.5333333333333333
58,Buckinghamshire,16,2,8.0,7.0,1.0,0.4375,0.0625,0.5
59,East Sussex,12,4,5.0,5.0,2.0,0.4166666666666667,0.16666666666666666,0.4166666666666667
60,"Hampshire, Portsmouth and Southampton",65,13,27.0,27.0,11.0,0.4153846153846154,0.16923076923076924,0.4153846153846154
61,Isle of Wight,19,3,6.0,10.0,3.0,0.5263157894736842,0.15789473684210525,0.3157894736842105
62,Central and South East Kent,23,8,9.0,13.0,1.0,0.5652173913043478,0.043478260869565216,0.391304347826087
63,Mid Kent and Medway,40,9,24.0,16.0,0.0,0.4,0.0,0.6
64,North East Kent,11,6,7.0,3.0,1.0,0.2727272727272727,0.09090909090909091,0.6363636363636364
65,North West Kent,7,2,5.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.7142857142857143
66,Milton Keynes,51,5,23.0,27.0,1.0,0.5294117647058824,0.0196078431372549,0.45098039215686275
67,Oxfordshire,25,6,21.0,4.0,0.0,0.16,0.0,0.84
68,Surrey,104,13,50.0,33.0,21.0,0.3173076923076923,0.20192307692307693,0.4807692307692308
69,West Sussex,62,15,41.0,17.0,4.0,0.27419354838709675,0.06451612903225806,0.6612903225806451
70,Avon,73,17,30.0,36.0,7.0,0.4931506849315068,0.0958904109589041,0.410958904109589
71,Cornwall and Isles of Scilly,65,8,32.0,26.0,7.0,0.4,0.1076923076923077,0.49230769230769234
72,Exeter and Greater Devon,43,9,32.0,7.0,4.0,0.16279069767441862,0.09302325581395349,0.7441860465116279
73,"Plymouth, Torbay and South Devon",44,6,19.0,20.0,5.0,0.45454545454545453,0.11363636363636363,0.4318181818181818
74,Dorset,35,11,21.0,9.0,5.0,0.2571428571428571,0.14285714285714285,0.6
75,Gloucestershire,32,4,20.0,9.0,3.0,0.28125,0.09375,0.625
76,Somerset,13,3,3.0,10.0,0.0,0.7692307692307693,0.0,0.23076923076923078
77,Wiltshire and Swindon,52,6,32.0,19.0,1.0,0.36538461538461536,0.019230769230769232,0.6153846153846154
78,South Wales Central,98,15,51.0,36.0,11.0,0.3673469387755102,0.11224489795918367,0.5204081632653061
79,Carmarthenshire and Pembrokeshire,21,5,14.0,7.0,0.0,0.3333333333333333,0.0,0.6666666666666666
