Year,Coroner_area,Region,Country,Country2,PM_NIQ_M,PM_NIQ_F,PM_NIQ_T,PM_IQ_M,PM_IQ_F,PM_IQ_T,PM_PIQ_M,PM_PIQ_F,PM_PIQ_T,PM_TDR_M,PM_TDR_F,PM_TDR_T,WPM_NIQ_M,WPM_NIQ_F,WPM_NIQ_T,WPM_IQ_M,WPM_IQ_F,WPM_IQ_T,WPM_PIQ_M,WPM_PIQ_F,WPM_PIQ_T,WPM_TDR_M,WPM_TDR_F,WPM_TDR_T,TDR_NIQ_M,TDR_NIQ_F,TDR_NIQ_T,TDR_IQ_M,TDR_IQ_F,TDR_IQ_T,TDR_PIQ_M,TDR_PIQ_F,TDR_PIQ_T,TDR_TDR_M,TDR_TDR_F,TDR_TDR_T,Transferred,Sex_unknown,PM_Standard,PM_NonStandard,PM_Hist,PM_Tox,Out_Eng,Elsewhere,Custody_prison,Custody_police,Custody_imm,Custody_MHA,Custody_probation,Custody_STC,Custody_SCH,Custody_ROTL,Custody_prison7,CUSTODY_DOLS,Custody_Total,KUL_M,KUL_F,KUL_T,KL_M,KL_F,KL_T,Suicide_M,Suicide_F,Suicide_T,Abor_M,Abor_F,Abor_T,Negl_M,Negl_F,Negl_T,D_Drugs_M,D_Drugs_F,D_Drugs_T,ND_Drugs_M,ND_Drugs_F,ND_Drugs_T,DRUGS_ALC_M,DRUGS_ALC_F,DRUGS_ALC_T,COLLISION_M,COLLISION_F,COLLISION_T,WAB_M,WAB_F,WAB_T,IND_M,IND_F,IND_T,DBMIS_M,DBMIS_F,DBMIS_T,Still_M,Still_F,Still_T,DBNC_M,DBNC_F,DBNC_T,Open_M,Open_F,Open_T,Dis_M,Dis_F,Dis_T,Unclass_M,Unclass_F,Unclass_T,Total_Verdicts_M,Total_Verdicts_F,Total_Verdicts_T,Age_0_1_years,Age_1_14_years,Age_15_24_years,Age_25_44_years,Age_45_64_years,Age_over65_years,Age_not_known,Murder_T,Manslaughter_T,Infanticide_T,RTA_T,Aid_suicide_T,Corp_Manslaughter_T,Other_Charges_T,Disaster_T,All_Charges_T,Inq_with_juries,Inq_without_juries,Inq_Total,Inq_held_HC,Inq_quashed_HC,Inq_Total_treasure_tr,TA96_Finds,TA96_Inq,TA96_Verdicts,Exhumations,Cases_NIQ_1_week_or_less,Cases_NIQ_up_to_1_month,Cases_NIQ_over_1_month,Cases_NIQ_certs_total,Cases_NIQ_no_certs_total,Cases_IQ_1_week_or_less,Cases_IQ_up_to_1_month,Cases_IQ_over_1_month,Cases_IQ_certs_total_EW,Cases_IQ_certs_total_AB,Cases_PIQ_1_week_or_less,Cases_PIQ_up_to_1_month,Cases_PIQ_over_1_month,Cases_PIQ_certs_total,Cases_PIQ_no_certs_total,Cases_1_month_or_less_EW,Cases_1_to_3_months_EW,Cases_3_to_6_months_EW,Cases_6_to_12_months_EW,Cases_over_12_months_EW,Cases_Total_EW,Cases_Total_AB,Cases_Total,Inq_op_6_months_or_less_EW,Inq_op_6_to_12_months_EW,Inq_op_1_to_2_years_EW,Inq_op_over_2_years_EW,Inq_op_Total_EW,Inq_op_6_months_or_less_AB,Inq_op_6_to_12_months_AB,Inq_op_1_to_2_years_AB,Inq_op_over_2_years_AB,Inq_op_Total_AB,Inq_op_Total,WPM_NIQ_TDR,WPM_TDR_TDR,TDR_NIQ_TDR,TDR_TDR_TDR,Grouped_Verdicts_M,Grouped_Verdicts_F,Grouped_Verdicts_T,Inq_op_6_months_or_less_T,Inq_op_6_to_12_months_T,Inq_op_1_to_2_years_T,Inq_op_over_2_years_T,PM_less_invasive,PM_less_invasive_only,PM_HO_forensic_pathologist,PM_defence_lawyer_request,Murder_Suspended_T,Manslaughter_Suspended_T,Infanticide_Suspended_T,RTA_Suspended_T,Aid_suicide_Suspended_T,Corp_Manslaughter_Suspended_T,Other_Charges_Suspended_T,Inquiry_Suspended_IA2005_T,General_Power_Suspended_T,All_Charges_Suspended_T
2020,South Wales Central,Wales,Wales,England and Wales,641,352,993,254,109,363,120,62,182,1015,523,1538,925,806,1731,109,61,170,25,25,50,1059,892,1951,1566,1158,2724,363,170,533,145,87,232,2074,1415,3489,48,0,1501,37,585,600,19,8,10,0,0,2,0,0,0,0,0,0,12,1,0,1,0,0,0,44,16,60,0,0,0,0,0,0,0,0,0,0,0,0,49,21,70,7,2,9,0,0,0,28,2,30,21,20,41,0,0,0,31,27,58,7,2,9,0,0,0,44,34,78,232,124,356,4,1,21,84,99,147,0,0,0,0,0,0,0,0,0,0,7,357,364,0,0,0,6,0,0,0,2398,297,7,2702,22,264,247,19,530,3,103,72,2,177,55,32,18,130,148,34,362,2,364,322,139,92,17,570,4,2,1,2,9,579,1731,1951,2724,3489,44,34,78,326,141,93,19,74,69,51,0,3,0,0,5,0,0,0,0,0,8
2020,Carmarthenshire and Pembrokeshire,Wales,Wales,England and Wales,251,155,406,47,19,66,23,12,35,321,186,507,489,494,983,34,26,60,1,0,1,524,520,1044,740,649,1389,81,45,126,24,12,36,845,706,1551,0,0,497,10,34,102,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,13,5,18,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,2,1,3,0,0,0,6,0,6,15,13,28,0,0,0,5,7,12,0,0,0,0,0,0,3,3,6,53,33,86,0,1,1,9,30,45,0,0,0,0,0,0,0,0,0,0,0,86,86,0,0,0,11,0,0,0,1199,142,37,1378,11,55,70,0,125,1,35,1,0,36,0,2,8,17,57,1,85,1,86,53,9,14,6,82,0,0,0,1,1,83,983,1044,1389,1551,3,3,6,53,9,14,7,29,29,6,0,1,1,0,0,0,0,0,0,0,2
2020,North Wales (East and Central),Wales,Wales,England and Wales,397,227,624,130,43,173,18,4,22,545,274,819,809,777,1586,90,70,160,1,2,3,900,849,1749,1206,1004,2210,220,113,333,19,6,25,1445,1123,2568,0,1,808,11,160,209,12,3,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,31,4,35,0,0,0,0,0,0,0,0,0,0,0,0,34,15,49,16,1,17,0,0,0,16,2,18,47,48,95,0,0,0,13,5,18,11,1,12,0,0,0,13,3,16,181,79,260,0,0,8,46,80,125,1,0,0,0,0,0,0,0,0,0,0,264,264,0,0,0,5,0,0,0,1992,187,23,2202,9,216,79,37,332,1,15,9,1,25,0,2,1,62,158,39,262,2,264,87,25,8,4,124,0,0,0,0,0,124,1587,1750,2211,2569,13,3,16,87,25,8,4,3,3,1,0,0,0,0,4,0,0,0,0,0,4
2020,Ceredigion,Wales,Wales,England and Wales,92,49,141,25,7,32,4,4,8,121,60,181,83,87,170,0,0,0,0,0,0,83,87,170,175,136,311,25,7,32,4,4,8,204,147,351,1,0,165,16,21,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23,0,0,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,4,2,2,0,212,74,25,311,0,32,0,0,32,0,0,2,6,8,0,0,1,6,15,2,24,0,24,5,3,2,1,11,0,0,0,0,0,11,170,170,311,351,0,0,0,5,3,2,1,5,0,3,0,0,0,0,1,0,0,0,0,0,1
2020,Gwent,Wales,Wales,England and Wales,181,140,321,484,297,781,33,16,49,698,453,1151,668,680,1348,120,91,211,4,3,7,792,774,1566,849,820,1669,604,388,992,37,19,56,1490,1227,2717,7,0,1150,1,151,144,13,3,1,0,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,41,8,49,0,0,0,0,0,0,0,0,0,0,0,0,13,3,16,6,3,9,0,0,0,22,1,23,29,31,60,0,0,0,28,14,42,5,2,7,0,0,0,28,17,45,173,79,252,0,2,12,47,65,126,0,0,0,0,0,0,0,0,0,0,2,253,255,3,1,0,3,0,0,0,1240,266,51,1557,112,519,401,72,992,0,16,32,1,49,7,2,5,24,161,63,255,0,255,227,98,46,10,381,1,0,0,0,1,382,1348,1566,1669,2717,28,17,45,228,98,46,10,360,360,26,0,0,0,0,3,0,0,0,0,0,3
2020,Swansea and Neath Port Talbot,Wales,Wales,England and Wales,271,151,422,95,38,133,28,12,40,394,201,595,568,617,1185,38,24,62,4,3,7,610,644,1254,839,768,1607,133,62,195,32,15,47,1004,845,1849,17,0,592,3,169,210,8,2,3,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,38,7,45,0,0,0,0,0,0,0,0,0,0,0,0,30,15,45,7,1,8,0,0,0,9,2,11,34,18,52,0,0,0,7,6,13,9,5,14,0,0,0,11,8,19,146,62,208,0,0,13,58,65,72,0,0,0,0,0,0,0,0,0,0,2,212,214,0,0,0,2,0,0,0,1395,183,9,1587,20,89,66,40,195,0,31,12,4,47,0,39,1,67,72,31,210,4,214,75,20,32,29,156,0,0,2,0,2,158,1185,1254,1607,1849,11,8,19,75,20,34,29,20,20,10,0,1,0,0,5,0,0,0,0,0,6
2020,North West Wales,Wales,Wales,England and Wales,135,69,204,45,23,68,12,4,16,192,96,288,296,291,587,13,8,21,0,0,0,309,299,608,431,360,791,58,31,89,12,4,16,501,395,896,1,0,165,123,59,113,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,16,0,0,0,0,0,0,0,0,0,0,0,0,18,7,25,4,1,5,0,0,0,5,1,6,11,12,23,0,0,0,3,4,7,3,0,3,0,0,0,1,0,1,59,27,86,0,0,5,17,36,28,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,2,0,0,0,719,11,47,777,14,89,0,0,89,0,0,0,0,0,16,12,7,34,31,7,91,0,91,31,2,0,3,36,0,0,1,0,1,37,587,608,791,896,1,0,1,31,2,1,3,0,0,0,0,2,0,0,3,0,0,0,0,0,5
2020,County Durham and Darlington,North East,England,England and Wales,481,296,777,213,78,291,20,17,37,714,391,1105,844,812,1656,82,64,146,0,0,0,926,876,1802,1325,1108,2433,295,142,437,20,17,37,1640,1267,2907,1,4,1076,29,319,291,11,4,19,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,53,21,74,0,0,0,0,0,0,0,0,0,0,0,0,53,20,73,14,0,14,0,0,0,40,6,46,49,52,101,0,0,0,32,23,55,6,1,7,0,0,0,37,47,84,284,170,454,1,5,22,102,94,230,0,0,0,0,0,0,0,0,0,0,8,451,459,0,0,0,5,5,5,0,1900,356,151,2407,30,249,183,4,436,1,10,26,1,37,0,7,38,245,122,40,452,7,459,131,22,13,5,171,1,0,1,1,3,174,1660,1806,2437,2911,37,47,84,132,22,14,6,7,6,29,0,0,0,0,4,0,0,1,0,0,5
2020,North Northumberland,North East,England,England and Wales,76,41,117,30,11,41,17,7,24,123,59,182,178,209,387,16,9,25,14,18,32,208,236,444,254,250,504,46,20,66,31,25,56,331,295,626,3,0,178,4,60,49,182,1,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,3,0,3,0,0,0,10,1,11,5,8,13,0,0,0,1,1,2,1,1,2,0,0,0,4,4,8,40,18,58,0,0,1,11,16,30,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,6,0,0,0,466,11,5,482,22,55,9,2,66,0,32,4,20,56,0,16,13,11,13,4,57,1,58,2,3,1,0,6,0,0,0,0,0,6,387,444,504,626,4,4,8,2,3,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
2020,South Northumberland,North East,England,England and Wales,152,84,236,57,20,77,42,32,74,251,136,387,320,297,617,39,42,81,9,17,26,368,356,724,472,381,853,96,62,158,51,49,100,619,492,1111,0,0,379,8,149,100,34,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,5,21,0,0,0,0,0,0,0,0,0,0,0,0,17,5,22,1,0,1,0,0,0,12,1,13,19,16,35,0,0,0,8,2,10,0,1,1,0,0,0,10,10,20,83,40,123,0,0,4,22,27,70,0,0,0,0,0,0,0,0,0,0,0,124,124,0,0,0,10,1,1,0,772,38,5,815,38,114,24,19,157,1,61,12,27,100,0,30,30,38,21,3,122,2,124,5,4,1,0,10,0,0,0,0,0,10,617,724,853,1111,10,10,20,5,4,1,0,5,5,4,0,0,0,0,1,0,0,0,0,0,1
