date,geography,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value
2011,Darlington,E06000005,Total,105564,51483,54081,104111,1453,1218,19747.51,5.3
2011,County Durham,E06000047,Total,513242,251280,261962,500288,12954,4705,222606.26,2.3
2011,Hartlepool,E06000001,Total,92028,44751,47277,91091,937,780,9386.11,9.8
2011,Middlesbrough,E06000002,Total,138412,67732,70680,136156,2256,1040,5387.47,25.7
2011,Northumberland,E06000057,Total,316028,154124,161904,310591,5437,3922,501301.83,0.6
2011,Redcar and Cleveland,E06000003,Total,135177,65655,69522,133929,1248,1096,24489.51,5.5
2011,Stockton-on-Tees,E06000004,Total,191610,94082,97528,187959,3651,1991,20393.06,9.4
2011,Gateshead,E08000037,Total,200214,97974,102240,197726,2488,1332,14234.74,14.1
2011,Newcastle upon Tyne,E08000021,Total,280177,140226,139951,271212,8965,2586,11343.86,24.7
2011,North Tyneside,E08000022,Total,200801,96883,103918,199142,1659,1550,8239.1,24.4
2011,South Tyneside,E08000023,Total,148127,71560,76567,146729,1398,867,6441.31,23
2011,Sunderland,E08000024,Total,275506,133953,141553,271884,3622,1531,13746.17,20
2011,Blackburn with Darwen,E06000008,Total,147489,73547,73942,145827,1662,1467,13701.18,10.8
2011,Blackpool,E06000009,Total,142065,69775,72290,137960,4105,1073,3488.1,40.7
2011,Cheshire East,E06000049,Total,370127,181409,188718,365065,5062,6056,116637.63,3.2
2011,Cheshire West and Chester,E06000050,Total,329608,160586,169022,326236,3372,4753,91665.6,3.6
2011,Halton,E06000006,Total,125746,61368,64378,124874,872,1001,7909.52,15.9
2011,Warrington,E06000007,Total,202228,100300,101928,198828,3400,2589,18065.39,11.2
2011,Cumbria,E10000006,Total,499858,246065,253793,490939,8919,6584,676655.85,0.7
2011,Bolton,E08000001,Total,276786,136660,140126,274855,1931,2747,13980.34,19.8
2011,Bury,E08000002,Total,185060,90588,94472,183025,2035,2472,9948.44,18.6
2011,Manchester,E08000003,Total,503127,252623,250504,481030,22097,3736,11564.49,43.5
2011,Oldham,E08000004,Total,224897,110155,114742,223170,1727,2118,14236.49,15.8
2011,Rochdale,E08000005,Total,211699,103642,108057,209552,2147,2083,15808.07,13.4
2011,Salford,E08000006,Total,233933,116782,117151,228346,5587,2045,9719.02,24.1
2011,Stockport,E08000007,Total,283275,138400,144875,280915,2360,3722,12606.18,22.5
2011,Tameside,E08000008,Total,219324,107650,111674,217736,1588,1769,10317.14,21.3
2011,Trafford,E08000009,Total,226578,110959,115619,225277,1301,3435,10603.73,21.4
2011,Wigan,E08000010,Total,317849,157996,159853,315794,2055,2601,18819.15,16.9
2011,Lancashire,E10000017,Total,1171339,575146,596193,1143277,28062,14049,290320.2,4
2011,Knowsley,E08000011,Total,145893,69329,76564,144990,903,781,8646.93,16.9
2011,Liverpool,E08000012,Total,466415,230483,235932,450085,16330,3283,11184.35,41.7
2011,Sefton,E08000014,Total,273790,131237,142553,269697,4093,3000,15313.61,17.9
2011,St. Helens,E08000013,Total,175308,86138,89170,173958,1350,1499,13638.25,12.9
2011,Wirral,E08000015,Total,319783,153847,165936,316384,3399,3702,15704.94,20.4
2011,East Riding of Yorkshire,E06000011,Total,334179,163388,170791,326951,7228,4469,240767.65,1.4
2011,"Kingston upon Hull, City of",E06000010,Total,256406,128420,127986,252748,3658,1488,7144.92,35.9
2011,North East Lincolnshire,E06000012,Total,159616,78247,81369,157786,1830,1387,19184.49,8.3
2011,North Lincolnshire,E06000013,Total,167446,82623,84823,165871,1575,1777,84631.29,2
2011,York,E06000014,Total,198051,96254,101797,190392,7659,2638,27193.63,7.3
2011,North Yorkshire,E10000023,Total,598376,294110,304266,582624,15752,9956,803761.29,0.7
2011,Barnsley,E08000016,Total,231221,113634,117587,229539,1682,1681,32905.31,7
2011,Doncaster,E08000017,Total,302402,149230,153172,297200,5202,2764,56799.22,5.3
2011,Rotherham,E08000018,Total,257280,126247,131033,255334,1946,2178,28653.77,9
2011,Sheffield,E08000019,Total,552698,272661,280037,539064,13634,5017,36794.79,15
2011,Bradford,E08000032,Total,522452,257132,265320,515315,7137,4896,36641.72,14.3
2011,Calderdale,E08000033,Total,203826,99627,104199,202376,1450,2168,36392.21,5.6
2011,Kirklees,E08000034,Total,422458,208657,213801,416840,5618,4014,40859.65,10.3
2011,Leeds,E08000035,Total,751485,367935,383550,731373,20112,7700,55172.44,13.6
2011,Wakefield,E08000036,Total,325837,159913,165924,322264,3573,2843,33861.24,9.6
2011,Derby,E06000015,Total,248752,123046,125706,244625,4127,2431,7803.11,31.9
2011,Leicester,E06000016,Total,329839,162884,166955,321527,8312,3332,7331.48,45
2011,Nottingham,E06000018,Total,305680,153777,151903,289738,15942,2556,7461.16,41
2011,Rutland,E06000017,Total,37369,18915,18454,34252,3117,842,38151.51,1
2011,Derbyshire,E10000007,Total,769686,378786,390900,760840,8846,8700,254669.96,3
2011,Leicestershire,E10000018,Total,650489,321416,329073,636274,14215,9344,208287.86,3.1
2011,Lincolnshire,E10000019,Total,713653,347605,366048,698748,14905,9048,592061.92,1.2
2011,Northamptonshire,E10000021,Total,691952,341342,350610,681850,10102,9222,236397.29,2.9
2011,Nottinghamshire,E10000024,Total,785802,386722,399080,774338,11464,8941,208477.38,3.8
2011,"Herefordshire, County of",E06000019,Total,183477,90302,93175,180595,2882,3080,217973.24,0.8
2011,Shropshire,E06000051,Total,306129,151606,154523,298183,7946,4905,319730.32,1
2011,Stoke-on-Trent,E06000021,Total,249008,123995,125013,246075,2933,1545,9345.02,26.6
2011,Telford and Wrekin,E06000020,Total,166641,82549,84092,164440,2201,1813,29031.32,5.7
2011,Staffordshire,E10000028,Total,848489,419918,428571,832952,15537,9941,262027.95,3.2
2011,Warwickshire,E10000031,Total,545474,269076,276398,537501,7973,7829,197508.17,2.8
2011,Birmingham,E08000025,Total,1073045,527806,545239,1051366,21679,9438,26778.82,40.1
2011,Coventry,E08000026,Total,316960,157621,159339,307730,9230,3420,9864.42,32.1
2011,Dudley,E08000027,Total,312925,153819,159106,310398,2527,2635,9795.66,31.9
2011,Sandwell,E08000028,Total,308063,151592,156471,305928,2135,1872,8556.73,36
2011,Solihull,E08000029,Total,206674,100352,106322,205087,1587,3199,17828.78,11.6
2011,Walsall,E08000030,Total,269323,132319,137004,267397,1926,2051,10395.49,25.9
2011,Wolverhampton,E08000031,Total,249470,123441,126029,245526,3944,2056,6943.95,35.9
2011,Worcestershire,E10000034,Total,566169,278791,287378,556357,9812,7715,174051.71,3.3
2011,Bedford,E06000055,Total,157479,77312,80167,154536,2943,2392,47641.2,3.3
2011,Central Bedfordshire,E06000056,Total,254381,126044,128337,252120,2261,3629,71566.45,3.6
2011,Luton,E06000032,Total,203201,101954,101247,201549,1652,2232,4335.33,46.9
2011,Peterborough,E06000031,Total,183631,90859,92772,181827,1804,2040,34337.82,5.3
2011,Southend-on-Sea,E06000033,Total,173658,85037,88621,171489,2169,1852,4175.6,41.6
2011,Thurrock,E06000034,Total,157705,77823,79882,157072,633,1302,16337.6,9.7
2011,Cambridgeshire,E10000003,Total,621210,309560,311650,598066,23144,9352,304624.19,2
2011,Essex,E10000012,Total,1393587,680161,713426,1375440,18147,17298,346438.95,4
2011,Hertfordshire,E10000015,Total,1116062,547110,568952,1101351,14711,18561,164306.58,6.8
2011,Norfolk,E10000020,Total,857888,420160,437728,841042,16846,9721,537056.1,1.6
2011,Suffolk,E10000029,Total,728163,359787,368376,714113,14050,9780,380018.39,1.9
2011,Camden,E09000007,Total,220338,107885,112453,212443,7895,2530,2179.6,101.1
2011,City of London,E09000001,Total,7375,4091,3284,7187,188,78,289.78,25.5
2011,Hackney,E09000012,Total,246270,122029,124241,244433,1837,2221,1906.35,129.2
2011,Hammersmith and Fulham,E09000013,Total,182493,88914,93579,180652,1841,2327,1640.4,111.2
2011,Haringey,E09000014,Total,254926,126224,128702,253236,1690,2774,2958.85,86.2
2011,Islington,E09000019,Total,206125,101405,104720,200134,5991,1931,1485.95,138.7
2011,Kensington and Chelsea,E09000020,Total,158649,78194,80455,155939,2710,3093,1212.95,130.8
2011,Lambeth,E09000022,Total,303086,150921,152165,300101,2985,3186,2682.14,113
2011,Lewisham,E09000023,Total,275885,134957,140928,273342,2543,2897,3514.54,78.5
