date_of_report,date_of_reports,ref,deceased_name,deceased_names,coroner_name,coroner_area,category,this_report_is_being_sent_to,these_report_are_being_sent_to,url
22/06/2023,,2023-0209,Stephen Richardson,,Andre Rebello,Liverpool and Wirral,Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-richardson-prevention-of-future-deaths-report/
22/06/2023,,2023-0208,Mason French,,Derek Winter,Sunderland,Child Death (from 2015) | Road (Highways Safety) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/mason-french-prevention-of-future-deaths-report/
06/06/2023,,2023-0207,Alexander Blewitt,,Sean Cummings,Milton Keynes,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/alexander-blewitt-prevention-of-future-deaths-report/
22/06/2023,,2023-0206,Lucy Walles,,Heidi Connor,Berkshire,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/lucy-walles-prevention-of-future-deaths-report/
21/04/2023,,2023-0205,Maria Shafighian,,Caroline Saunders,Gwent,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/maria-shafighian-prevention-of-future-deaths-report/
22/06/2023,,2023-0204,Christopher Stevens,,Andrew Cox,Cornwall and the Isles of Scilly,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-stevens-prevention-of-future-deaths-report/
21/06/2023,,2023-0203,Jean Frickel,,Kate Sutherland,North Wales East and Central,Wales prevention of future deaths reports (2019 onwards) | Emergency services related deaths (2019 onwards)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/jean-frickel-prevention-of-future-deaths-report/
20/06/2023,,2023-0202,Leonard Harmsworth,,Kate Sutherland,North Wales East and Central,Wales prevention of future deaths reports (2019 onwards) | Emergency services related deaths (2019 onwards)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/leonard-harmsworth-prevention-of-future-deaths-report/
20/06/2023,,2023-0201,Anita Graves,,Adrian Farrow,Manchester South,"Alcohol, drugs medication related deathsThis report is being sent to",,,https://www.judiciary.uk/prevention-of-future-death-reports/anita-graves-prevention-of-future-deaths-report/
20/06/2023,,2023-0200,Michael Sullivan,,Alison Mutch,Manchester South,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-sullivan-prevention-of-future-deaths-report/
20/10/2021,,2023-0199,Freeda Glausiusz,,Mary Hassell,Inner North London,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/freeda-glausiusz-prevention-of-future-deaths-report/
08/06/2023,,2023-0198,Hilary Guedalla,,Edwin Buckett,Inner North London,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/hilary-guedalla-prevention-of-future-deaths-report/
